epoch,train_loss,train_acc,val_loss,val_acc
1,1.992562,0.1506,1.970307,0.1250
2,1.983392,0.1471,1.949807,0.1500
3,1.965938,0.1518,1.943941,0.1656
4,1.945435,0.1643,1.937896,0.1719
5,1.930357,0.1784,1.932271,0.2156
6,1.921154,0.1941,1.924347,0.2031
7,1.916636,0.2024,1.921100,0.2062
8,1.908952,0.2051,1.909747,0.2156
9,1.893243,0.2227,1.905771,0.1844
10,1.882266,0.2314,1.896937,0.2344
11,1.883544,0.2239,1.886827,0.2406
12,1.872991,0.2416,1.878818,0.2313
13,1.866418,0.2400,1.875207,0.2500
14,1.868208,0.2369,1.864841,0.2531
15,1.865061,0.2263,1.858697,0.2812
16,1.851014,0.2384,1.853543,0.2594
17,1.846534,0.2569,1.845043,0.3031
18,1.833088,0.2678,1.843622,0.2500
19,1.819163,0.2675,1.834013,0.2594
20,1.820622,0.2569,1.832321,0.2656
1,2.007439,0.1549,1.985932,0.1469
2,1.994450,0.1510,1.953748,0.1281
3,1.973752,0.1478,1.946999,0.1469
4,1.956096,0.1576,1.941156,0.1781
5,1.949133,0.1494,1.939829,0.1594
6,1.937443,0.1663,1.927559,0.1938
7,1.940603,0.1694,1.925949,0.1969
8,1.932577,0.1776,1.922447,0.2125
9,1.922082,0.1949,1.924285,0.1812
10,1.912375,0.1992,1.913398,0.2219
11,1.913465,0.1894,1.910308,0.2281
12,1.906436,0.1984,1.907337,0.2250
13,1.904749,0.2086,1.904306,0.2531
14,1.895943,0.2239,1.894850,0.2219
1,2.021221,0.1369,1.987546,0.1281
2,1.988048,0.1467,1.954259,0.1250
3,1.964833,0.1459,1.949005,0.1406
4,1.954280,0.1576,1.937072,0.1688
5,1.935275,0.1718,1.934117,0.1719
6,1.925191,0.1878,1.924891,0.2094
7,1.922577,0.1992,1.919649,0.2281
8,1.905777,0.2114,1.908699,0.2344
9,1.888747,0.2404,1.901738,0.2250
10,1.894752,0.2310,1.901290,0.2062
11,1.888986,0.2204,1.887634,0.2344
12,1.873286,0.2463,1.881661,0.2313
13,1.872678,0.2220,1.875755,0.2344
14,1.871836,0.2271,1.872829,0.2562
15,1.853872,0.2396,1.866633,0.2344
16,1.839465,0.2659,1.863386,0.2469
17,1.860206,0.2482,1.850851,0.2594
18,1.853299,0.2498,1.847483,0.2469
19,1.832644,0.2612,1.841187,0.2562
20,1.828887,0.2569,1.833340,0.2687
